Date,Close
2019-07-23,80.000000
2019-07-24,80.263603
2019-07-25,79.925003
2019-07-26,80.065002
2019-07-29,80.035004
2019-07-30,79.605003
2019-07-31,79.699997
2019-08-01,79.635002
2019-08-02,77.415001
2019-08-05,75.949997
2019-08-06,76.010002
2019-08-07,75.849998
2019-08-08,77.260002
2019-08-09,76.735001
2019-08-12,76.500000
2019-08-13,77.095001
2019-08-14,75.500000
2019-08-15,75.144997
2019-08-16,76.190002
2019-08-19,77.084999
2019-08-20,76.855003
2019-08-21,77.224998
2019-08-22,76.800003
2019-08-23,76.180000
2019-08-27,76.154999
2019-08-28,76.370003
2019-08-29,77.125000
2019-08-30,77.110001
2019-09-02,77.080002
2019-09-03,76.830002
2019-09-04,77.849998
2019-09-05,78.815002
2019-09-06,78.980003
2019-09-09,79.065002
2019-09-10,78.695000
2019-09-11,79.349998
2019-09-12,79.925003
2019-09-13,80.195000
2019-09-16,79.775002
2019-09-17,79.730003
2019-09-18,79.709999
2019-09-19,80.239998
2019-09-20,80.029999
2019-09-23,79.544998
2019-09-24,79.514999
2019-09-25,78.940002
2019-09-26,78.955002
2019-09-27,79.290001
2019-09-30,79.099998
2019-10-01,78.639999
2019-10-02,76.940002
2019-10-03,77.180000
2019-10-04,77.875000
2019-10-07,78.320000
2019-10-08,77.205002
2019-10-09,77.529999
2019-10-10,78.389999
2019-10-11,79.739998
2019-10-14,79.139999
2019-10-15,79.980003
2019-10-16,79.925003
2019-10-17,80.150002
2019-10-18,80.010002
2019-10-21,80.294998
2019-10-22,80.495003
2019-10-23,80.330002
2019-10-24,80.570000
2019-10-25,80.900002
2019-10-28,81.309998
2019-10-29,81.324997
2019-10-30,81.175003
2019-10-31,81.029999
2019-11-01,81.879997
2019-11-04,82.455002
2019-11-05,82.400002
2019-11-06,82.345001
2019-11-07,82.830002
2019-11-08,82.425003
2019-11-11,82.389999
2019-11-12,82.735001
2019-11-13,82.355003
2019-11-14,82.320000
2019-11-15,82.930000
2019-11-18,83.074997
2019-11-19,83.010002
2019-11-20,82.900002
2019-11-21,82.519997
2019-11-22,82.540001
2019-11-25,83.305000
2019-11-26,83.430000
2019-11-27,83.525002
2019-11-28,83.584999
2019-11-29,83.345001
2019-12-02,82.629997
2019-12-03,81.849998
2019-12-04,82.805000
2019-12-05,82.775002
2019-12-06,83.625000
2019-12-09,83.589996
2019-12-10,83.410004
2019-12-11,83.514999
2019-12-12,84.245003
2019-12-13,84.529999
2019-12-16,85.455002
2019-12-17,85.385002
2019-12-18,85.425003
2019-12-19,85.464996
2019-12-20,85.910004
2019-12-23,85.930000
2019-12-24,86.004997
2019-12-27,86.519997
2019-12-30,86.089996
2019-12-31,85.934998
2020-01-02,86.695000
2020-01-03,86.375000
2020-01-06,86.205002
2020-01-07,86.485001
2020-01-08,86.500000
2020-01-09,86.989998
2020-01-10,87.139999
2020-01-13,87.264999
2020-01-14,87.519997
2020-01-15,87.629997
2020-01-16,87.834999
2020-01-17,88.285004
2020-01-20,88.250000
2020-01-21,88.065002
2020-01-22,88.150002
2020-01-23,87.360001
2020-01-24,87.665001
2020-01-27,85.559998
2020-01-28,86.455002
2020-01-29,86.705002
2020-01-30,85.735001
2020-01-31,85.114998
2020-02-03,85.525002
2020-02-04,87.000000
2020-02-05,87.510002
2020-02-06,88.025002
2020-02-07,87.610001
2020-02-10,87.525002
2020-02-11,88.404999
2020-02-12,88.680000
2020-02-13,88.495003
2020-02-14,88.425003
2020-02-17,88.605003
2020-02-18,87.855003
2020-02-19,88.654999
2020-02-20,87.930000
2020-02-21,87.500000
2020-02-24,84.680000
2020-02-25,83.455002
2020-02-26,83.330002
2020-02-27,80.584999
2020-02-28,77.199997
2020-03-02,79.519997
2020-03-03,80.610001
2020-03-04,80.775002
2020-03-05,80.820000
2020-03-06,78.250000
2020-03-09,73.910004
2020-03-10,72.879997
2020-03-11,72.875000
2020-03-12,65.570000
2020-03-13,65.625000
2020-03-16,64.370003
2020-03-17,64.440002
2020-03-18,61.279999
2020-03-19,61.910000
2020-03-20,61.720001
2020-03-23,58.869999
2020-03-24,64.050003
2020-03-25,66.014999
2020-03-26,68.279999
2020-03-27,66.584999
2020-03-30,67.809998
2020-03-31,68.720001
2020-04-01,65.650002
2020-04-02,65.754997
2020-04-03,65.144997
2020-04-06,68.074997
2020-04-07,70.504997
2020-04-08,70.160004
2020-04-09,71.955002
2020-04-14,72.570000
2020-04-15,71.144997
2020-04-16,71.440002
2020-04-17,72.684998
2020-04-20,73.250000
2020-04-21,70.330002
2020-04-22,71.720001
2020-04-23,72.860001
2020-04-24,71.730003
2020-04-27,73.514999
2020-04-28,74.089996
2020-04-29,75.334999
2020-04-30,74.910004
2020-05-01,72.849998
2020-05-04,72.309998
2020-05-05,73.889999
2020-05-06,73.364998
2020-05-07,73.970001
2020-05-11,75.040001
2020-05-12,75.209999
2020-05-13,73.449997
2020-05-14,72.360001
2020-05-15,72.750000
2020-05-18,75.830002
2020-05-19,75.915001
2020-05-20,76.680000
2020-05-21,75.639999
2020-05-22,75.300003
2020-05-26,77.404999
2020-05-27,77.050003
2020-05-28,78.669998
